all_values - INFO - 2025-05-14 13:40:00 all: {'teplota_vzduchu': 23, 'prizemni_teplota': 33, 'teplota_pudy_10cm': 13.7, 'teplota_pudy_20cm': 12.3, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 30.538, 'smer_vetru_stupne_180_jih': 135, 'oroseni_listu': 1, 'rychlost_vetru_mss': 1.6, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1009.2, 'globalni_zareni_Wm2': 609.4, 'napeti': 13.9}
all_values - INFO - 2025-05-14 13:50:00 all: {'teplota_vzduchu': 23.1, 'prizemni_teplota': 33.1, 'teplota_pudy_10cm': 13.7, 'teplota_pudy_20cm': 12.3, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 29.544, 'smer_vetru_stupne_180_jih': 180, 'oroseni_listu': 1, 'rychlost_vetru_mss': 1.5, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1009.1, 'globalni_zareni_Wm2': 514.9, 'napeti': 13.9}
all_values - INFO - 2025-05-14 14:20:00 all: {'teplota_vzduchu': 23.1, 'prizemni_teplota': 30.8, 'teplota_pudy_10cm': 13.8, 'teplota_pudy_20cm': 12.4, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 27.682, 'smer_vetru_stupne_180_jih': 270, 'oroseni_listu': 1, 'rychlost_vetru_mss': 2.1, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1008.7, 'globalni_zareni_Wm2': 439.1, 'napeti': 13.9}
all_values - INFO - 2025-05-14 14:40:00 all: {'teplota_vzduchu': 22.6, 'prizemni_teplota': 28.2, 'teplota_pudy_10cm': 13.9, 'teplota_pudy_20cm': 12.5, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 29.736, 'smer_vetru_stupne_180_jih': 315, 'oroseni_listu': 1, 'rychlost_vetru_mss': 1.6, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1008.6, 'globalni_zareni_Wm2': 313.9, 'napeti': 13.9}
all_values - INFO - 2025-05-14 14:50:00 all: {'teplota_vzduchu': 23.3, 'prizemni_teplota': 29.5, 'teplota_pudy_10cm': 13.9, 'teplota_pudy_20cm': 12.5, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 28.702, 'smer_vetru_stupne_180_jih': 270, 'oroseni_listu': 1, 'rychlost_vetru_mss': 2.3, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1008.4, 'globalni_zareni_Wm2': 434.5, 'napeti': 13.9}
all_values - INFO - 2025-05-14 14:50:00 all: {'teplota_vzduchu': 23.3, 'prizemni_teplota': 29.5, 'teplota_pudy_10cm': 13.9, 'teplota_pudy_20cm': 12.5, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 28.702, 'smer_vetru_stupne_180_jih': 270, 'oroseni_listu': 1, 'rychlost_vetru_mss': 2.3, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1008.4, 'globalni_zareni_Wm2': 434.5, 'napeti': 13.9}
all_values - INFO - 2025-05-14 15:10:00 all: {'teplota_vzduchu': 23.4, 'prizemni_teplota': 29.4, 'teplota_pudy_10cm': 14, 'teplota_pudy_20cm': 12.6, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 27.78, 'smer_vetru_stupne_180_jih': 0, 'oroseni_listu': 1, 'rychlost_vetru_mss': 2, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1008, 'globalni_zareni_Wm2': 349.3, 'napeti': 13.8}
all_values - INFO - 2025-05-14 15:30:00 all: {'teplota_vzduchu': 23.5, 'prizemni_teplota': 28.5, 'teplota_pudy_10cm': 14, 'teplota_pudy_20cm': 12.6, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 27.236, 'smer_vetru_stupne_180_jih': 270, 'oroseni_listu': 1, 'rychlost_vetru_mss': 2.3, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1007.8, 'globalni_zareni_Wm2': 402.4, 'napeti': 13.7}
all_values - INFO - 2025-05-14 15:40:00 all: {'teplota_vzduchu': 23.1, 'prizemni_teplota': 24.6, 'teplota_pudy_10cm': 14, 'teplota_pudy_20cm': 12.6, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 26.746, 'smer_vetru_stupne_180_jih': 315, 'oroseni_listu': 1, 'rychlost_vetru_mss': 2.2, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1007.8, 'globalni_zareni_Wm2': 340.2, 'napeti': 13.7}
all_values - INFO - 2025-05-14 15:50:00 all: {'teplota_vzduchu': 22.7, 'prizemni_teplota': 21.8, 'teplota_pudy_10cm': 14, 'teplota_pudy_20cm': 12.7, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 27.147, 'smer_vetru_stupne_180_jih': 270, 'oroseni_listu': 1, 'rychlost_vetru_mss': 3.3, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1007.7, 'globalni_zareni_Wm2': 374.2, 'napeti': 13.6}
all_values - INFO - 2025-05-14 15:50:00 all: {'teplota_vzduchu': 22.7, 'prizemni_teplota': 21.8, 'teplota_pudy_10cm': 14, 'teplota_pudy_20cm': 12.7, 'teplota_pudy_30cm': 11.5, 'srazky': 0, 'vlhkost_vzduchu': 27.147, 'smer_vetru_stupne_180_jih': 270, 'oroseni_listu': 1, 'rychlost_vetru_mss': 3.3, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1007.7, 'globalni_zareni_Wm2': 374.2, 'napeti': 13.6}
